Periodo,Categoria,Comuna,Propuesta,Votos,lat,lng,color
2017,Movilidad y transito,Comuna 12,Ordenar el transporte publico sobre constituyen tes y general paz,417,-34.5702,-58.509,#86A0DB
2017,Deportes y calidad de vida,Comuna 12,Yoga en villa urquiza,315,-34.5713,-58.4912,#9DDBDF
2017,Cultura,Comuna 12,Intercambio de libros,431,-34.5673,-58.4998,#87E2A8
2018,Movilidad y transito,Comuna 12,ECOBICIal menos 10 estaciones para las COMUNAS 12 Y 13,511,-34.5709,-58.4975,#86A0DB
2018,Movilidad y transito,Comuna 12,camaras de transito,221,-34.5641,-58.4792,#86A0DB
2018,Movilidad y transito,Comuna 12,Semaforo en Olazabal y Donado ,391,-34.5711,-58.4766,#86A0DB
2018,Seguridad,Comuna 12,Seguridad camaras de Seguridad,299,-34.5735,-58.4969,#E06658
2018,Movilidad y transito,Comuna 12,Transito  Agregar semaforo,173,-34.5754,-58.5007,#86A0DB
2018,Seguridad,Comuna 12,Seguridad,277,-34.58,-58.4917,#E06658
2018,Movilidad y transito,Comuna 12,movilidad y transito colocar un semaforo en la calle diaz colodrero y quesada,221,-34.5683,-58.49,#86A0DB
2018,Plazas y parques,Comuna 12,INSTALACION DE CAMARAS DE SEGURIDAD EN TODAS LAS PLAZAS DE LA COMUNAS 12,558,-34.5672,-58.4892,#85E45D
2018,Seguridad,Comuna 12,INSTALACION DE CAMARAS DE SEGURIDAS EN LA PLAZA LEANDRO N ALEN ZAMUDIO 5600 ESQ,179,-34.577,-58.5034,#E06658
2018,Plazas y parques,Comuna 12,INSTALACION DE WIFI LIBRE Y GRATUITO EN LA PLAZA LEANDRO N ALEN ZAMUDIO 5600,145,-34.5757,-58.503,#85E45D
2018,Movilidad y transito,Comuna 12,INSTALACION DE PARADAS DE COLECTIVOS Y REFUGIOS LA SACARON Y NO SE REPUSO AV ALBARELLOS 2506 varias,298,-34.5751,-58.5055,#86A0DB
2018,Seguridad,Comuna 12,Camaras de Seguridad 24 hrs calles de Cabildo y Ciudad de la paz,234,-34.5485,-58.4692,#E06658
2018,Seguridad,Comuna 12,Camaras de Seguridad 24 hrs barrio de Villa Pueyr#E06658on,293,-34.5798,-58.5063,#E06658
2018,Deportes y calidad de vida,Comuna 12,Realizacion de clases de yoga en el parque Saavedra,229,-34.5516,-58.4802,#9DDBDF
2018,Movilidad y transito,Comuna 12,Arreglar ve#E06658a monroe 5568  70,99,-34.5774,-58.4915,#86A0DB
2018,Seguridad,Comuna 12,camaras de Seguridad Barzana  calle Pampa,167,-34.582,-58.4857,#E06658
2018,Deportes y calidad de vida,Comuna 12,Maquinas de ejercicios parque saavedra maquinas,265,-34.5515,-58.4824,#9DDBDF
2018,Mascotas,Comuna 12,Caniles en el Parque Saavedra,175,-34.55,-58.4777,#D6D45C
2018,Seguridad,Comuna 12,Camaras de Seguridad  barrios de parque chas y villa urquiza,321,-34.5726,-58.4913,#E06658
2018,Movilidad y transito,Comuna 12,CARTEL DE GIRO Barzana y Olazabal,190,-34.5782,-58.4886,#86A0DB
2018,Movilidad y transito,Comuna 12,Estacion de Ecobicis en Parque Saavedra,332,-34.5494,-58.473,#86A0DB
2018,Plazas y parques,Comuna 12,Deporte en parque saavedra,151,-34.5511,-58.4806,#85E45D
2018,Movilidad y transito,Comuna 12,Giros a la izquierda sobre Av Balbin aprovechando manzanas triangulares,215,-34.5562,-58.481,#86A0DB
2018,Seguridad,Comuna 12,camaras de Seguridad general paz a la altura del 5000,181,-34.5745,-58.5112,#E06658
2018,Seguridad,Comuna 12,Seguridad barrio de Coghlan,200,-34.5588,-58.4757,#E06658
2018,Seguridad,Comuna 12,Seguridad en el barrio  barrio saavedra belgrano nu??ez,349,-34.5481,-58.4761,#E06658
2018,Seguridad,Comuna 12,Camaras de Seguridad 24 hrs barrio de Saavedra Balbin y Donado,270,-34.5551,-58.4886,#E06658
2018,Seguridad,Comuna 12,Camaras de Seguridad en Villa Urquiza,439,-34.575,-58.4911,#E06658
2018,Seguridad,Comuna 12,Mas Seguridad en el barrio de Saavedra,290,-34.5524,-58.4847,#E06658
2018,Movilidad y transito,Comuna 12,Que se haga la luz,306,-34.564,-58.4975,#86A0DB
2018,Plazas y parques,Comuna 12,Iluminacion en el Parque Saavedra,364,-34.5502,-58.4813,#85E45D
